SKU,Name1,Name2
ST20240422_073110_COMPARISON IS THE THIEF OF JOY,COMPARISON IS THE,THIEF OF JOY
ST20240422_073111_IM HERE TO LAY PIPE,I'M HERE TO,LAY PIPE!
ST20240422_073112_WORLDS OKAYEST FLORIST,WORLD'S,OKAYEST FLORIST
ST20240422_073113_JUST A GIRL WHO LOVES SHRIMP,JUST A GIRL WHO,LOVES SHRIMP
ST20240422_073114_DONT HONK AT ME IF YOU DONT EXIST,DON'T HONK AT ME IF,YOU DON'T EXIST
ST20240422_073115_WORLDS OKAYEST UNCLE,WORLD'S,OKAYEST UNCLE
ST20240422_073116_SORRY FOR SPEEDING I NEED TO GET HOME TO MY CAT,SORRY FOR SPEEDING I NEED,TO GET HOME TO MY CAT
ST20240422_073117_DATA OR IT DIDNT HAPPEN,DATA OR IT,DIDN'T HAPPEN
ST20240422_073118_DONT MAKE ME USE MY DRAGON VOICE,DON'T MAKE ME USE,MY DRAGON VOICE
ST20240422_073119_I'M NOT CONVINCED I KNOW HOW TO READ,I'M NOT CONVINCED I,KNOW HOW TO READ
ST20240422_073120_OPEN YOUR MIND BEFORE YOUR MOUTH,OPEN YOUR MIND,BEFORE YOUR MOUTH
ST20240422_073121_HOPE IS NOT A STRATEGY,HOPE IS NOT A,STRATEGY
ST20240422_073122_DONT BE LIKE THE REST OF THEM DARLING,DON'T BE LIKE THE,REST OF THEM DARLING
ST20240422_073123_FOCUS ON THE GOOD,FOCUS ON,THE GOOD
ST20240422_073124_THE WORLD OWES YOU NOTHING,THE WORLD OWES,YOU NOTHING
ST20240422_073125_WRITE HARD AND CLEAR ABOUT WHAT HURTS,WRITE HARD AND CLEAR,ABOUT WHAT HURTS
ST20240422_073126_WHAT A LONG STRANGE TRIP ITS BEEN,WHAT A LONG STRANGE,TRIP IT'S BEEN
ST20240422_073127_I LIKE YOUR SPARK,I LIKE,YOUR SPARK
ST20240422_073128_BE MESSY COMPLICATED AND AFRAID SHOW UP ANYWAY,BE MESSY COMPLICATED AND,AFRAID SHOW UP ANYWAY
ST20240422_073129_WORLDS OKAYEST REFEREE,WORLD'S,OKAYEST REFEREE
ST20240422_073130_GOOD FRIENDS DONT LET YOU DO STUPID THINGS ALONE,GOOD FRIENDS DON'T LET YOU,DO STUPID THINGS ALONE
ST20240422_073131_I RUN BECAUSE I REALLY LIKE MY ABBS,I RUN BECAUSE I,REALLY LIKE MY ABBS
ST20240422_073132_SHES GOT A BOOK FOR EVERY SITUATION,SHE'S GOT A BOOK FOR,EVERY SITUATION
ST20240422_073133_I'M PROBABLY ONLINE SHOPPING,I'M PROBABLY,ONLINE SHOPPING
ST20240422_073134_I BECAME A WINDOW CLEANER FOR THE MONEY AND FAME,I BECAME A WINDOW CLEANER,FOR THE MONEY AND FAME
ST20240422_073135_IM THE YOUNGEST CHILD,I'M THE,YOUNGEST CHILD
ST20240422_073136_DONT BE A DICK,DON'T BE,A DICK
ST20240422_073137_ONLY YOU CAN DECIDE WHAT BREAKS YOU,ONLY YOU CAN DECIDE,WHAT BREAKS YOU
ST20240422_073138_HOLD ON TO YOUR BUTTS,HOLD ON TO,YOUR BUTTS!
ST20240422_073139_SHE WAS MADE OF SUNLIGHT,SHE WAS MADE,OF SUNLIGHT
ST20240422_073140_WORLDS OKAYEST WITCH,WORLD'S,OKAYEST WITCH
