SKU,Name1,Name2
SKU20240425_093157_GET OFF MY ASS BEFORE I INFLATE YOUR AIRBAGS,GET OFF MY ASS BEFORE I,INFLATE YOUR AIRBAGS
SKU20240425_093158_DONT STEAL MY TOOLS I NEED THEM TO PAY YOUR BENEFITS,DON'T STEAL MY TOOLS I NEED,THEM TO PAY YOUR BENEFITS
SKU20240425_093159_NOTHING IN THIS CAR IS WORTH DYING FOR,NOTHING IN THIS CAR,IS WORTH DYING FOR
SKU20240425_093200_NOTHING IN THIS TRUCK IS WORTH DYING FOR,NOTHING IN THIS TRUCK,IS WORTH DYING FOR
SKU20240425_093201_NOTHING IN HERE IS WORTH DYING FOR,NOTHING IN HERE IS,WORTH DYING FOR
SKU20240425_093202_I BECAME A SANITATION WORKER FOR THE MONEY AND FAME,I BECAME A SANITATION,WORKER FOR THE MONEY AND FAME
SKU20240425_093203_YOU JUST GOT PASSED BY A BITCH,YOU JUST GOT,PASSED BY A BITCH
SKU20240425_093204_PLEASE BE PATIENT I HAVE CHRONIC PAIN,PLEASE BE PATIENT I,HAVE CHRONIC PAIN
SKU20240425_093205_PLEASE BE PATIENT I AM 4 YEARS OLD,PLEASE BE PATIENT I,AM 4 YEARS OLD
SKU20240425_093206_WORLDS OKAYEST CAT MUM,WORLD'S,OKAYEST CAT MUM
SKU20240425_093207_DONT STOP UNTIL YOU ARE PROUD,DONT STOP UNTIL,YOU ARE PROUD
SKU20240425_093208_JUST A GIRL WHO LOVES PICKLES,JUST A GIRL WHO,LOVES PICKLES
SKU20240425_093209_EXIT PURSUED BY A BEAR,"EXIT, PURSUED",BY A BEAR
SKU20240425_093210_EVERYONE CAN HELP SOMEONE,EVERYONE CAN,HELP SOMEONE
SKU20240425_093211_IF NOT ME WHO,IF NOT,"ME, WHO?"
SKU20240425_093212_YOU CAN NEVER HAVE TOO MANY GIRLFRIENDS,YOU CAN NEVER HAVE,TOO MANY GIRLFRIENDS
SKU20240425_093213_TIME WILL PUT YOUR ENEMIES IN THE GROUND,TIME WILL PUT YOUR,ENEMIES IN THE GROUND
SKU20240425_093214_THE BOOK WAS BETTER,THE BOOK,WAS BETTER
SKU20240425_093215_JUST A BOY WHO LOVES CHICKEN,JUST A BOY WHO,LOVES CHICKEN
SKU20240425_093216_FIRST I DRINK THE COFFEE,FIRST I DRINK,THE COFFEE
SKU20240425_093217_SHE IS CLOTHED WITH DIGNITY AND STRENGTH,SHE IS CLOTHED WITH,DIGNITY AND STRENGTH
SKU20240425_093218_I BECAME A TEMP WORKER FOR THE MONEY AND FAME,I BECAME A TEMP WORKER,FOR THE MONEY AND FAME
