SKU,Name1,Name2
SKU20240503_205523_IM NOT A COMPLETE IDIOT SOME PARTS ARE MISSING,I'M NOT A COMPLETE IDIOT,SOME PARTS ARE MISSING
SKU20240503_205524_IM NOT SPEEDING IM QUALIFYING,I'M NOT SPEEDING,I'M QUALIFYING!
SKU20240503_205525_IM NOT FLUENT IN IDIOT SO PLEASE STOP TALKING,I'M NOT FLUENT IN IDIOT,SO PLEASE STOP TALKING
SKU20240503_205526_I SPEAK FLUENT SARCASM,I SPEAK,FLUENT SARCASM
SKU20240503_205527_YOUR ONLY LIMIT IS YOUR MIND,YOUR ONLY LIMIT,IS YOUR MIND
SKU20240503_205528_I RUN ON CAFFEINE CHAOS AND CUSS WORDS,I RUN ON CAFFEINE,CHAOS AND CUSS WORDS
SKU20240503_205529_FUCK OFF IM READING,FUCK OFF I'M,READING
SKU20240503_205530_GO AWAY I'M READING,GO AWAY,I'M READING
SKU20240503_205531_IT AINT EASY BEING WHEEZY,IT AIN'T EASY,BEING WHEEZY
SKU20240503_205532_CAN WE FIX IT NO ITS FUCKED,CAN WE FIX IT?,"NO, IT'S FUCKED"
SKU20240503_205533_IM NOT ALWAYS A DICK JUST KIDDING GO FUCK YOURSELF,I'M NOT ALWAYS A DICK JUST,KIDDING GO FUCK YOURSELF
SKU20240503_205534_YEAH IM A BITCH JUST NOT YOURS,"YEAH I'M A BITCH,",JUST NOT YOURS
SKU20240503_205535_FUCK AROUND AND FIND OUT,FUCK AROUND,AND FIND OUT
SKU20240503_205536_WHY DONT YOU PLAY HIDE & GO FUCK YOURSELF,WHY DON'T YOU PLAY HIDE,& GO FUCK YOURSELF
SKU20240503_205537_I AM LITTLE HIGH MAINTENANCE,I AM LITTLE HIGH,MAINTENANCE
SKU20240503_205538_HONK IF YOURE A SINGLE AND FORKLIFT CERTIFIED,HONK IF YOU'RE A SINGLE,AND FORKLIFT CERTIFIED
SKU20240503_205539_HEY GIRLS IM FORKLIFT CERTIFIED,HEY GIRLS I'M,FORKLIFT CERTIFIED
SKU20240503_205540_FORKLIFT CERTIFIED,FORKLIFT,CERTIFIED
SKU20240503_205541_I AM THE VETERAN NOT THE VETERANS WIFE,I AM THE VETERAN NOT,THE VETERAN'S WIFE
SKU20240503_205542_I USED TO BE A PEOPLE PERSON BUT PEOPLE RUINED THAT FOR ME,I USED TO BE A PEOPLE PERSON,BUT PEOPLE RUINED THAT FOR ME
SKU20240503_205543_THROW BREAD ON ME,THROW,BREAD ON ME
SKU20240503_205544_A NATION OF SHEEP WILL BEGET GOVERNMENT OF WOLVES,A NATION OF SHEEP WILL,BEGET GOVERNMENT OF WOLVES
SKU20240503_205545_TOO STUPID TO UNDERSTAND SCIENCE THEN TRY RELIGION,TOO STUPID TO UNDERSTAND,"SCIENCE, THEN TRY RELIGION"
SKU20240503_205546_DO I LOOK LIKE A FREAKIN PEOPLE PERSON,DO I LOOK LIKE A,FREAKIN PEOPLE PERSON
