SKU,Name1,Name2
SKU20240516_144745_LIFE IS TOUGH BUT ITS TOUGHER IF YOURE STUPID,LIFE IS TOUGH BUT IT'S,TOUGHER IF YOU'RE STUPID
SKU20240516_144746_I SEE STUPID PEOPLE,I SEE,STUPID PEOPLE
SKU20240516_144747_IF I DIE AT WORK PLEASE PLACE MY PPE ON ME,IF I DIE AT WORK PLEASE,PLACE MY PPE ON ME
SKU20240516_144748_BURNT OUT BUT OPTIMISTIC,BURNT OUT BUT,OPTIMISTIC
SKU20240516_144749_KEEP CALM ALL BLEEDING STOPS EVENTUALLY,KEEP CALM ALL,BLEEDING STOPS EVENTUALLY
SKU20240516_144750_BE GAY DO CRIME,BE GAY DO,CRIME
SKU20240516_144751_SILLY GOOSE ON BOARD,SILLY GOOSE,ON BOARD
SKU20240516_144752_A SILLY GOOSE DRIVES THIS CAR,A SILLY GOOSE,DRIVES THIS CAR
SKU20240516_144753_REMEMBER KIDS ELECTRICITY WILL KILL YOU,REMEMBER KIDS,ELECTRICITY WILL KILL YOU
SKU20240516_144754_BECOME UNGOVERNABLE,BECOME,UNGOVERNABLE
SKU20240516_144755_IF IT FLIES IT DIES,IF IT FLIES,IT DIES
SKU20240516_144756_LETS GET THIS BREAD,LET'S GET,THIS BREAD
SKU20240516_144757_I THINK I WILL CAUSE PROBLEMS ON PURPOSE,I THINK I WILL CAUSE,PROBLEMS ON PURPOSE
SKU20240516_144758_THROW BREAD ON ME,THROW,BREAD ON ME
SKU20240516_144759_I BRAKE FOR GEESE,I BRAKE,FOR GEESE
SKU20240516_144800_IM NOT FOR EVERYONE,I'M NOT FOR,EVERYONE
SKU20240516_144801_MY ALONE TIME IS FOR EVERYONES SAFETY,MY ALONE TIME IS FOR,EVERYONE'S SAFETY
SKU20240516_144802_I IDENTIFY AS A PROBLEM,I IDENTIFY AS,A PROBLEM
SKU20240516_144803_I IDENTIFY AS A PRIUS,I IDENTIFY,AS A PRIUS
SKU20240516_144804_EVERYONE IS WELCOME HERE,EVERYONE IS,WELCOME HERE
SKU20240516_144805_IF IM TOO MUCH THEN GO FIND LESS,IF I'M TOO MUCH,THEN GO FIND LESS
SKU20240516_144806_EVERYTHING IS CONNECTED,EVERYTHING IS,CONNECTED
SKU20240516_144807_NOBODY KNOWS IM GAY,NOBODY KNOWS,I'M GAY
SKU20240516_144808_FEAR IS THE MIND KILLER,FEAR IS THE,MIND KILLER
SKU20240516_144809_JUST A GOOD MOM WITH A HOOD PLAYLIST,JUST A GOOD MOM WITH,A HOOD PLAYLIST
SKU20240516_144811_THE BEST MOM EVER,THE BEST,MOM EVER
SKU20240516_144812_WORLDS BEST MOM,WORLD'S,BEST MOM
