SKU,Name1,Name2
ST20240421_161707_JUST A GIRL WHO LOVES TRAVELING,JUST A GIRL WHO,LOVES TRAVELING
ST20240421_161708_DONT FOLLOW ME I DO STUPID THINGS,DON'T FOLLOW ME I,DO STUPID THINGS
ST20240421_161709_IM NOT JUST SURE IM HIV POSITIVE,"I'M NOT JUST SURE,",I'M HIV POSITIVE
ST20240421_161710_LET THEM EAT CAKE,LET THEM,EAT CAKE
ST20240421_161711_JUST A GIRL WHO LOVES PICKLEBALL,JUST A GIRL WHO,LOVES PICKLEBALL
ST20240421_161712_THINK OUTSIDE NO BOX REQUIRED,"THINK OUTSIDE, NO",BOX REQUIRED
ST20240421_161713_LIFE IS TOO SHORT TO DRIVE BORING CARS,LIFE IS TOO SHORT TO,DRIVE BORING CARS
ST20240421_161714_YOUVE YEED YOUR LAST HAW,YOU'VE YEE'D,YOUR LAST HAW
ST20240421_161715_PLEASE BE PATIENT I HAVE SELECTIVE MUTISM,PLEASE BE PATIENT I,HAVE SELECTIVE MUTISM
ST20240421_161717_GREAT IS YOUR FAITHFULNESS,GREAT IS YOUR,FAITHFULNESS
ST20240421_161719_LET THE SEA SET YOU FREE,LET THE SEA,SET YOU FREE
ST20240421_161720_WORLDS OKAYEST ARCHAEOLOGIST,WORLD'S OKAYEST,ARCHAEOLOGIST
ST20240421_161721_GAVE ME COOKIE GOT YOU COOKIE,GAVE ME COOKIE,GOT YOU COOKIE
ST20240421_161722_DONT HONK AT ME IM SENSITIVE,DON'T HONK AT ME,I'M SENSITIVE
ST20240421_161723_JUST A GIRL WHO LOVES COOKIES,JUST A GIRL WHO,LOVES COOKIES
ST20240421_161725_SPEAK SOFTLY AND CARRY A BIG STICK,SPEAK SOFTLY AND,CARRY A BIG STICK
ST20240421_161726_JUST A BOY WHO LOVES EXCAVATORS,JUST A BOY WHO,LOVES EXCAVATORS
ST20240421_161728_JUST A GIRL WHO LOVES MINING,JUST A GIRL WHO,LOVES MINING
ST20240421_161732_YOU CAN NEVER HAVE TOO MANY HORSES,YOU CAN NEVER HAVE,TOO MANY HORSES
ST20240421_161733_ITS THE PERFECT DAY FOR A TRAGICAL ROMANCE,IT'S THE PERFECT DAY,FOR A TRAGICAL ROMANCE
ST20240421_161734_HONK IF YOU FART HARD,HONK IF YOU,FART HARD
ST20240421_161735_I CANT IMAGINE LIFE WITHOUT YOU,I CAN'T IMAGINE,LIFE WITHOUT YOU
ST20240421_161736_JUST A GIRL WHO LOVES HYENAS,JUST A GIRL WHO,LOVES HYENAS
ST20240421_161737_JUST A GIRL WHO LOVES TURTLES,JUST A GIRL WHO,LOVES TURTLES
