SKU,Name1,Name2
SKU20240417_220451_IM NOT DRUNK IM PASSING OUT SNACKS,I'M NOT DRUNK I'M,PASSING OUT SNACKS
SKU20240417_220452_IM NOT DRUNK IM PASSING SNACKS AND WHOOPING ASS,I'M NOT DRUNK I'M PASSING,SNACKS AND WHOOPING ASS
SKU20240417_220453_IM NOT DRUNK JUST AVOIDING POTHOLES,I'M NOT DRUNK JUST,AVOIDING POTHOLES
SKU20240417_220454_SURPRISE IM DRUNK,SURPRISE,I'M DRUNK
SKU20240417_220455_IM NOT SLURRING IM SPEAKING IN CURSIVE,I'M NOT SLURRING I'M,SPEAKING IN CURSIVE
SKU20240417_220456_NOT DRUNK AVOIDING POTHOLES,NOT DRUNK,AVOIDING POTHOLES
SKU20240417_220457_YOU CANT SCARE ME IM A LUNCH LADY,YOU CAN'T SCARE ME,I'M A LUNCH LADY
SKU20240417_220458_DRUNK WIVES MATTER,DRUNK WIVES,MATTER
SKU20240417_220459_SINKING AND DRINKING,SINKING AND,DRINKING
SKU20240417_220500_SHUT UP LIVER YOURE FINE,SHUT UP LIVER,YOU'RE FINE
