SKU,Name1,Name2
SKU20240423_092539_I RUN BECAUSE I REALLY LIKE CHOCOLATE,I RUN BECAUSE I,REALLY LIKE CHOCOLATE
SKU20240423_092540_SILVER FOR MONSTERS STEEL FOR HUMANS,"SILVER FOR MONSTERS,",STEEL FOR HUMANS
SKU20240423_092541_I AM NOT A MISTAKE,I AM NOT A,MISTAKE
SKU20240423_092542_DONT MAKE ME USE MY DRIVER VOICE,DON'T MAKE ME USE,MY DRIVER VOICE
SKU20240423_092543_LIFE IS THE BUBBLES,LIFE IS THE,BUBBLES
SKU20240423_092544_ARM THE WORKING CLASS,ARM THE,WORKING CLASS
SKU20240423_092545_COFFEE BECAUSE ADULTING IS HARD,COFFEE BECAUSE,ADULTING IS HARD
SKU20240423_092546_BE A KIND HUMAN,BE A KIND,HUMAN
SKU20240423_092547_WE DO NOT REMEMBER DAYS WE REMEMBER MOMENTS,"WE DO NOT REMEMBER DAYS,",WE REMEMBER MOMENTS
SKU20240423_092548_BURDENED WITH GLORIOUS PURPOSE,BURDENED WITH,GLORIOUS PURPOSE
SKU20240423_092549_YOUR BEAUTY NEVER REALLY SCARED ME,YOUR BEAUTY NEVER,REALLY SCARED ME
SKU20240423_092550_I CAN DO THIS ALL DAY,I CAN DO,THIS ALL DAY
SKU20240423_092551_DONT MAKE ME USE MY MOM VOICE,DON'T MAKE ME USE,MY MOM VOICE
SKU20240423_092552_I BECAME A WAITER FOR THE MONEY AND FAME,I BECAME A WAITER FOR,THE MONEY AND FAME
SKU20240423_092553_WORLDS OKAYEST AMBULANCE DRIVER,WORLD'S OKAYEST,AMBULANCE DRIVER
SKU20240423_092554_FUCK ME GENTLY WITH A CHAINSAW,FUCK ME GENTLY,WITH A CHAINSAW
SKU20240423_092555_DONT TOUCH MY PLANNER,DON'T TOUCH,MY PLANNER!
SKU20240423_092556_YOU ARE ENOUGH JUST AS YOU ARE,YOU ARE ENOUGH,JUST AS YOU ARE
SKU20240423_092557_A WOMANS PLACE IS IN A LAB,A WOMAN'S PLACE,IS IN A LAB
SKU20240423_092558_YOU NEVER KNOW HOW STRONG YOU ARE,YOU NEVER KNOW HOW,STRONG YOU ARE
SKU20240423_092559_YOUR EXISTENCE IS ESSENTIALLY IRRELEVANT,YOUR EXISTENCE IS,ESSENTIALLY IRRELEVANT
SKU20240423_092600_DOWN THE RABBIT HOLE,DOWN THE,RABBIT HOLE
SKU20240423_092601_ALWAYS BELIEVE THAT YOU CAN DO THE AMAGING THINGS,ALWAYS BELIEVE THAT YOU,CAN DO THE AMAGING THINGS
SKU20240423_092602_JUST A GIRL WHO LOVES BIRDS,JUST A GIRL WHO,LOVES BIRDS
SKU20240423_092603_I AM NOT HERE FOR DRAMA,I AM NOT HERE,FOR DRAMA
SKU20240423_092604_SORRY IM LATE I SAW A ROCK,SORRY I'M LATE,I SAW A ROCK
SKU20240423_092605_I LOVE YOU SAY IT BACK,I LOVE YOU,SAY IT BACK
SKU20240423_092606_ITS FINE IM FINE EVERYTHING IS FINE,"IT'S FINE, I'M FINE,",EVERYTHING IS FINE
SKU20240423_092607_THINK HAPPY BE HAPPY,THINK HAPPY.,BE HAPPY.
SKU20240423_092608_I RUN BECAUSE I LIKE TO EAT,I RUN BECAUSE I,LIKE TO EAT
SKU20240423_092609_YOUR FRIENDLY REMINDER TO GO OUTSIDE,YOUR FRIENDLY,REMINDER TO GO OUTSIDE!
SKU20240423_092610_JUST A GIRL WHO LOVES GOATS,JUST A GIRL WHO,LOVES GOATS
SKU20240423_092611_YOU WIN OR YOU DIE,YOU WIN OR,YOU DIE
