SKU,Name1,Name2
ST20240425_203752_I BECAME A SANITATION WORKER FOR THE MONEY AND FAME,I BECAME A SANITATION,WORKER FOR THE MONEY AND FAME
ST20240425_203753_YOU JUST GOT PASSED BY A BITCH,YOU JUST GOT,PASSED BY A BITCH
ST20240425_203754_PLEASE BE PATIENT I HAVE CHRONIC PAIN,PLEASE BE PATIENT I,HAVE CHRONIC PAIN
ST20240425_203755_PLEASE BE PATIENT I AM 4 YEARS OLD,PLEASE BE PATIENT I,AM 4 YEARS OLD
ST20240425_203756_WORLDS OKAYEST CAT MUM,WORLD'S,OKAYEST CAT MUM
ST20240425_203757_DONT STOP UNTIL YOU ARE PROUD,DONT STOP UNTIL,YOU ARE PROUD
ST20240425_203758_JUST A GIRL WHO LOVES PICKLES,JUST A GIRL WHO,LOVES PICKLES
ST20240425_203759_EXIT PURSUED BY A BEAR,"EXIT, PURSUED",BY A BEAR
ST20240425_203800_EVERYONE CAN HELP SOMEONE,EVERYONE CAN,HELP SOMEONE
ST20240425_203801_IF NOT ME WHO,IF NOT,"ME, WHO?"
ST20240425_203802_YOU CAN NEVER HAVE TOO MANY GIRLFRIENDS,YOU CAN NEVER HAVE,TOO MANY GIRLFRIENDS
ST20240425_203803_TIME WILL PUT YOUR ENEMIES IN THE GROUND,TIME WILL PUT YOUR,ENEMIES IN THE GROUND
ST20240425_203804_THE BOOK WAS BETTER,THE BOOK,WAS BETTER
ST20240425_203805_JUST A BOY WHO LOVES CHICKEN,JUST A BOY WHO,LOVES CHICKEN
ST20240425_203806_FIRST I DRINK THE COFFEE,FIRST I DRINK,THE COFFEE
ST20240425_203807_SHE IS CLOTHED WITH DIGNITY AND STRENGTH,SHE IS CLOTHED WITH,DIGNITY AND STRENGTH
ST20240425_203808_I BECAME A TEMP WORKER FOR THE MONEY AND FAME,I BECAME A TEMP WORKER,FOR THE MONEY AND FAME
ST20240425_203809_YOU CAN NEVER HAVE TOO MANY CORNETS,YOU CAN NEVER HAVE,TOO MANY CORNETS
ST20240425_203810_WORLDS OKAYEST MEDICAL STUDENT,WORLD'S OKAYEST,MEDICAL STUDENT
ST20240425_203811_WORLDS OKAYEST SALE REPRESENTATIVE,WORLD'S OKAYEST,SALE REPRESENTATIVE
ST20240425_203812_LIFE IS LIKE A CAMERA,LIFE IS LIKE,A CAMERA
ST20240425_203813_YOU HAD ME AT BOYS TO TORMENT,YOU HAD ME AT,BOYS TO TORMENT
ST20240425_203814_YOURE SO GORGEOUS,YOU'RE SO,GORGEOUS
ST20240425_203815_YOU AINT COOL UNLESS YOU PEE YOUR PANTS,YOU AINT COOL UNLESS,YOU PEE YOUR PANTS
ST20240425_203816_LIFE HAPPENS COFFEE HELPS,"LIFE HAPPENS,",COFFEE HELPS
ST20240425_203817_LET GO AND LET GOD,LET GO AND,LET GOD
ST20240425_203818_SAVE A LIFE ADOPT A CAT,SAVE A LIFE,ADOPT A CAT
ST20240425_203819_IVE BEEN BUSY PROCRASTINATING ALL DAY,I'VE BEEN BUSY,PROCRASTINATING ALL DAY
ST20240425_203820_EVERYTHING IS A COPY,EVERYTHING,IS A COPY
ST20240425_203821_I BECAME A WAREHOUSE PACKER FOR THE MONEY AND FAME,I BECAME A WAREHOUSE PACKER,FOR THE MONEY AND FAME
ST20240425_203822_WORLDS OKAYEST FRIEND,WORLD'S,OKAYEST FRIEND
ST20240425_203823_HE IS HALF MY SOUL,HE IS HALF,MY SOUL
ST20240425_203824_A VERY RISKY GAMBLE,A VERY,RISKY GAMBLE
ST20240425_203825_HONK IF YOU COMMIT ARSON,HONK IF YOU,COMMIT ARSON
ST20240425_203826_LIVE FAST EAT TRASH SCREAM AT OWN ASS,"LIVE FAST, EAT TRASH,",SCREAM AT OWN ASS.
ST20240425_203827_WORLDS OKAYEST GRANDPA,WORLD'S,OKAYEST GRANDPA
ST20240425_203828_SOMETIMES SCIENCE IS MORE ART THAN SCIENCE,SOMETIMES SCIENCE IS,MORE ART THAN SCIENCE
ST20240425_203829_IT'S NOT A PHASE IT'S WHO I AM,"IT'S NOT A PHASE,",IT'S WHO I AM
ST20240425_203830_HONK IF YOU WANT TO BE OVERTAKEN BY MOSS,HONK IF YOU WANT TO BE,OVERTAKEN BY MOSS
ST20240425_203831_PLEASE BE PATIENT I AM GRANDMA,PLEASE BE PATIENT,I AM GRANDMA
ST20240425_203832_HARD WORK BEATS TALENT,HARD WORK,BEATS TALENT
ST20240425_203833_DONT MAKE ME USE MY GRANDMA VOICE,DON'T MAKE ME USE,MY GRANDMA VOICE
ST20240425_203834_DONT LET ANYONE MAKE YOU DISAPPEAR,DON'T LET ANYONE,MAKE YOU DISAPPEAR
ST20240425_203835_COFFEE BECAUSE MURDER IS WRONG,COFFEE BECAUSE,MURDER IS WRONG
ST20240425_203836_MAY WE MEET AGAIN,MAY WE,MEET AGAIN
ST20240425_203837_WHAT I SHOULD HAVE SAID WAS NOTHING,WHAT I SHOULD HAVE,SAID WAS NOTHING
ST20240425_203838_WORLDS OKAYEST SINGER,WORLD'S,OKAYEST SINGER
ST20240425_203839_YOU HAVE A PLACE IN MY HEART,YOU HAVE A PLACE,IN MY HEART
ST20240425_203840_THERES A MONSTER INSIDE ALL OF US,THERE'S A MONSTER,INSIDE ALL OF US
ST20240425_203841_JUST A BOY WHO LOVES SUNSHINE,JUST A BOY WHO,LOVES SUNSHINE
ST20240425_203842_BE THE WHOLE PROBLEM,BE THE WHOLE,PROBLEM
ST20240425_203843_WORLDS OKAYEST TEACHER,WORLD'S,OKAYEST TEACHER
ST20240425_203844_EVERY LOVE STORY IS BEAUTIFUL BUT OURS IS MY FAVORITE,EVERY LOVE STORY IS,"BEAUTIFUL, BUT OURS IS MY FAVORITE"
