SKU,Name1,Name2
ST20240422_201114_PLEASE BE PATIENT I HAVE AUTISM,PLEASE BE PATIENT,I HAVE AUTISM
ST20240422_201115_I AM DELIBERATE AND AFRAID OF NOTHING,I AM DELIBERATE AND,AFRAID OF NOTHING
ST20240422_201116_MAKE HEAVEN CROWDED,MAKE HEAVEN,CROWDED
ST20240422_201117_FAKE IT TILL YOU MAKE IT,FAKE IT TILL,YOU MAKE IT
ST20240422_201118_ASK ME ABOUT MY EXPLOSIVE DIARRHEA,ASK ME ABOUT MY,EXPLOSIVE DIARRHEA
ST20240422_201119_HONK IF YOU HATE BIDEN,HONK IF YOU,HATE BIDEN
ST20240422_201120_DID YOU TOUCH MY DRUM SET,DID YOU TOUCH,MY DRUM SET?
ST20240422_201121_DONT HONK AT ME MY DADS IS DEAD,DON'T HONK AT ME,MY DADS IS DEAD
ST20240422_201122_THIS MACHINE KILLS FASCISTS,THIS MACHINE,KILLS FASCISTS
ST20240422_201123_DONT MAKE ME USE MY LIFEGUARD VOICE,DON'T MAKE ME USE MY,LIFEGUARD VOICE!
ST20240422_201124_DONT HONK AT ME IM JUST A LITTLE GUY,DON'T HONK AT ME I'M,JUST A LITTLE GUY
ST20240422_201125_EARL IS IN THE TRUNK,EARL IS IN,THE TRUNK
ST20240422_201126_COWBOYS BUTTS DRIVE ME NUTS,COWBOYS BUTTS,DRIVE ME NUTS
ST20240422_201127_YOU JUST GOT PASSED BY A TOASTER,YOU JUST GOT,PASSED BY A TOASTER
ST20240422_201128_RELAX NOTHING IS UNDER CONTROL,RELAX NOTHING IS,UNDER CONTROL
ST20240422_201129_I BRAKE FOR AMERICAS ONLY NATIVE MARSUPIAL,I BRAKE FOR AMERICA'S,ONLY NATIVE MARSUPIAL
ST20240422_201130_WHAT ARE YOU GRATEFUL FOR,WHAT ARE YOU,GRATEFUL FOR?
ST20240422_201131_WAG MORE BARK LESS,WAG MORE,BARK LESS
ST20240422_201132_MY EMOTIONAL SUPPORT BEVERAGE,MY EMOTIONAL,SUPPORT BEVERAGE
ST20240422_201133_HONK IF YOURE A SILLY GOOSE,HONK IF YOU'RE A,SILLY GOOSE
ST20240422_201134_PLEASE BE PATIENT I HAVE TOURETTES,PLEASE BE PATIENT I,HAVE TOURETTE'S
ST20240422_201135_GET YOUR SHIT TOGETHER,GET YOUR SHIT,TOGETHER
ST20240422_201136_HARM REDUCTION SAVES LIVES,HARM REDUCTION,SAVES LIVES
ST20240422_201137_DADDYS MONEY BUT IM DADDY,DADDY'S MONEY,BUT I'M DADDY
ST20240422_201138_NOBODY CARES WORK HARDER,NOBODY CARES,WORK HARDER
ST20240422_201139_TRUMP WON GET OVER IT,TRUMP WON,GET OVER IT
ST20240422_201140_HI I DONT CARE THANKS,HI. I DON'T,CARE. THANKS
ST20240422_201141_JUST A GIRL WHO LIKES REFORMED THEOLOGY,JUST A GIRL WHO LIKES,REFORMED THEOLOGY
ST20240422_201142_YOUR SECRET IS SAFE WITH MY INDIFFERENCE,YOUR SECRET IS SAFE,WITH MY INDIFFERENCE
ST20240422_201143_I HAVE TO RETURN SOME VIDEO TAPES,I HAVE TO RETURN,SOME VIDEO TAPES
ST20240422_201144_I BECAME A POSTAL WORKER FOR THE MONEY AND FAME,I BECAME A POSTAL WORKER,FOR THE MONEY AND FAME
