SKU,Name1,Name2
SKU20240420_133146_DONT ASK TO BORROW MY TOOL AND I WONT ASK BORROW YOUR GIRLFRIEND,DON'T ASK TO BORROW MY TOOL AND I,WON'T ASK BORROW YOUR GIRLFRIEND
SKU20240420_133147_I AM MY BROTHERS KEEPER,I AM MY,BROTHERS KEEPER
SKU20240420_133148_ONLY YOU CAN PREVENT WORK BEATINGS,ONLY YOU CAN,PREVENT WORK BEATINGS
SKU20240420_133149_YOU ARE LOVED NO MATTER HOW YOU FEEL,YOU ARE LOVED NO,MATTER HOW YOU FEEL
SKU20240420_133150_WHAT YOU EGG HE STABS HIM,WHAT YOU EGG?,HE STABS HIM.
SKU20240420_133151_BE CURIOUS NOT JUDGMENTAL,BE CURIOUS NOT,JUDGMENTAL
SKU20240420_133152_QUIET THE MIND AND THE SOUL WILL SPEAK,QUIET THE MIND AND,THE SOUL WILL SPEAK
SKU20240420_133153_FIND JOY IN THE JOURNEY,FIND JOY IN,THE JOURNEY
SKU20240420_133154_LIVE EVERY MOMENT LAUGH EVERY DAY LOVE BEYOND WORDS,"LIVE EVERY MOMENT, LAUGH","EVERY DAY, LOVE BEYOND WORDS"
SKU20240420_133155_TOGETHER WE CAN DREAM BELIEVE LEAD ACHIEVE,TOGETHER WE CAN DREAM,BELIEVE LEAD ACHIEVE
SKU20240420_133156_IN A WORLD WHERE YOU CAN BE ANYTHING BE KIND,IN A WORLD WHERE YOU CAN,BE ANYTHING BE KIND
SKU20240420_133157_BE THE PERSION YOU WANT TO WORK WITH,BE THE PERSION YOU,WANT TO WORK WITH
SKU20240420_133158_NEVERTHELESS SHE PERSISTED,NEVERTHELESS,SHE PERSISTED
SKU20240420_133159_MAY YOU HAVE THE CONFIDENCE OF A MEDIOCRE WHITE MAN,MAY YOU HAVE THE CONFIDENCE,OF A MEDIOCRE WHITE MAN
SKU20240420_133200_DONT STOP UNTIL YOURE PROUD,DON'T STOP UNTIL,YOU'RE PROUD
SKU20240420_133201_YOU CAN HAVE RESULTS OR EXCUSES NOT BOTH,YOU CAN HAVE RESULTS,OR EXCUSES NOT BOTH
SKU20240420_133202_YOUR ONLY LIMIT IS YOU,YOUR ONLY,LIMIT IS YOU
SKU20240420_133203_EVERY FAMILY HAS A STORY WELCOME TO OURS,EVERY FAMILY HAS A,STORY. WELCOME TO OURS
SKU20240420_133204_YOU NEVER FAIL UNTIL YOU STOP TRYING,YOU NEVER FAIL UNTIL,YOU STOP TRYING
SKU20240420_133205_TASTE AND SEE THAT THE LORD IS GOOD,TASTE AND SEE THAT,THE LORD IS GOOD
SKU20240420_133206_WE CANT CONTROL THE WINDS BUT WE CAN ADJUST OUR SAILS,WE CAN'T CONTROL THE WINDS,BUT WE CAN ADJUST OUR SAILS
SKU20240420_133207_BE KIND OF A BITCH,BE KIND OF,A BITCH
SKU20240420_133208_GIVE IT TO GOD AND GO TO SLEEP,GIVE IT TO GOD,AND GO TO SLEEP
SKU20240420_133209_I AM A BAD INFLUENCE BUT FUN,I AM A BAD,INFLUENCE BUT FUN
SKU20240420_133210_I DONT GIVE A DUCK,I DON'T GIVE,A DUCK!!
SKU20240420_133211_LIFE IS A JOURNEY ENJOY THE RIDE,LIFE IS A JOURNEY,ENJOY THE RIDE
SKU20240420_133212_CLEVERLY DISGUISED AS A RESPONSIBLE ADULT,CLEVERLY DISGUISED AS,A RESPONSIBLE ADULT
SKU20240420_133213_NO GUTS NO GLORY,NO GUTS NO,GLORY
SKU20240420_133214_FREE HUGS JUST KIDDING DONT TOUCH ME,FREE HUGS JUST,KIDDING DON'T TOUCH ME
SKU20240420_133215_FAITH CAN MOVE MOUNTAINS,FAITH CAN MOVE,MOUNTAINS
SKU20240420_133216_HOME IS WHEREVER IM WITH YOU,HOME IS WHEREVER,I'M WITH YOU
SKU20240420_133217_THE MAP ON MY HEAD LEADS TO YOU,THE MAP ON MY,HEAD LEADS TO YOU
SKU20240420_133218_IF YOU LOVE PEACE ALL WILL WELL,IF YOU LOVE PEACE,ALL WILL WELL
SKU20240420_133219_I LAUGHED SO HARD TEARS RAN DOWN MY LEGS,I LAUGHED SO HARD,TEARS RAN DOWN MY LEGS
SKU20240420_133220_I READ BANNED BOOKS,I READ,BANNED BOOKS
SKU20240420_133221_BE THE CHANGE YOU WANT TO SEE IN THE WORLD,BE THE CHANGE YOU WANT,TO SEE IN THE WORLD
SKU20240420_133222_MY DOG IS SMARTER THAN THE PRESIDENT,MY DOG IS SMARTER,THAN THE PRESIDENT
SKU20240420_133223_SHE GOT MAD HUSTLE AND A DOPE SOUL,SHE GOT MAD HUSTLE,AND A DOPE SOUL
SKU20240420_133224_SURE YOU CAN TRUST THE GOVERNMENT JUST ASK A NATIVE AMERICAN,SURE YOU CAN TRUST THE,GOVERNMENT JUST ASK A NATIVE AMERICAN
SKU20240420_133225_SOCIAL ANXIETY INTENSIFIES,SOCIAL ANXIETY,INTENSIFIES
SKU20240420_133226_AMERICA LOVE IT OR LEAVE IT,AMERICA LOVE IT,OR LEAVE IT
SKU20240420_133227_BE HAPPY AND SMILE,BE HAPPY,AND SMILE
