SKU,Name1,Name2
SKU20240517_091200_MY DRIVING SCARES ME TOO,MY DRIVING,SCARES ME TOO
SKU20240517_091201_WE THE PEOPLE ARE PISSED OFF,WE THE PEOPLE,ARE PISSED OFF
SKU20240517_091202_OUTTA MY WAY I HAVE TO PEE,OUTTA MY WAY I,HAVE TO PEE!
SKU20240517_091203_I PISS STUPID PEOPLE OFF,I PISS STUPID,PEOPLE OFF
SKU20240517_091204_I SMELL COMMIES,I SMELL,COMMIES!
SKU20240517_091205_I PAUSED MY CRIME SHOW FOR THIS,I PAUSED MY CRIME,SHOW FOR THIS
SKU20240517_091206_PROBABLY LISTENING TO A TRUE CRIME PODCAST,PROBABLY LISTENING TO A,TRUE CRIME PODCAST
SKU20240517_091207_IM WATCHING SERIAL KILLER CRIME SHOW DOCUMENTARIES,I'M WATCHING SERIAL KILLER,CRIME SHOW DOCUMENTARIES
SKU20240517_091208_I PAUSED MY GAME TO BE HERE,I PAUSED MY,GAME TO BE HERE
SKU20240517_091209_ID RATHER BE WATCHING CRIME SHOWS,ID RATHER BE,WATCHING CRIME SHOWS
SKU20240517_091210_I NEED A NAP,I NEED A,NAP
SKU20240517_091211_I DONT NEED A VALENTINE I NEED A NAP,I DON'T NEED A,VALENTINE I NEED A NAP
SKU20240517_091212_ALL I NEED IS COFFEE AND MY DOG,ALL I NEED IS,COFFEE AND MY DOG
SKU20240517_091213_THERE IT GOES MY LAST FLYING FUCK,THERE IT GOES MY,LAST FLYING FUCK
SKU20240517_091214_ITS NOT GOING TO SUCK ITSELF,IT'S NOT GOING,TO SUCK ITSELF
SKU20240517_091215_IF YOURE GOING TO RIDE MY ASS DONT FORGET TO KISS IT,IF YOU'RE GOING TO RIDE MY,ASS DON'T FORGET TO KISS IT
SKU20240517_091216_LETS KEEP THE DUMBFUCKERY TO A MINIMUM TODAY,LETS KEEP THE,DUMBFUCKERY TO A MINIMUM TODAY
SKU20240517_091217_SMASH THE PATRIARCHY,SMASH THE,PATRIARCHY
SKU20240517_091218_CARRY YOURSELF WITH THE CONFIDENCE OF A MEDIOCRE WHITE MAN,CARRY YOURSELF WITH THE,CONFIDENCE OF A MEDIOCRE WHITE MAN
SKU20240517_091219_I DONT RISE AND SHINE I CAFFEINATE AND HOPE FOR THE BEST,"I DON'T RISE AND SHINE, I",CAFFEINATE AND HOPE FOR THE BEST
SKU20240517_091220_ITS FINE IM FINE EVERYTHING IS FINE,IT'S FINE. I'M FINE.,EVERYTHING IS FINE
SKU20240517_091221_THE STRONGEST STEEL IS FORGED IN THE FIRE OF A DUMPSTER,THE STRONGEST STEEL IS FORGED,IN THE FIRE OF A DUMPSTER
SKU20240517_091222_IM SILENTLY JUDGING YOUR TEETH,I'M SILENTLY,JUDGING YOUR TEETH
SKU20240517_091223_MY SENSE OF HUMOR MIGHT HURT YOUR FEELINGS,MY SENSE OF HUMOR MIGHT,HURT YOUR FEELINGS
SKU20240517_091224_WELL IF IT ISNT THE CONSEQUENCES OF MY OWN ACTIONS,"WELL, IF IT ISN'T THE",CONSEQUENCES OF MY OWN ACTIONS
