SKU,Name1,Name2
SKU20240330_054652_BESTIE LET ME MERGE,BESTIE LET,ME MERGE
SKU20240330_054653_I STAND WITH ISRAEL,I STAND,WITH ISRAEL
SKU20240330_054654_DRIVER IT LIKE YOU STOLE IT,DRIVER IT LIKE,YOU STOLE IT
SKU20240330_054655_I MIGHT BE SLOW BUT AT LEAST IM AHEAD OF YOU,I MIGHT BE SLOW BUT AT,LEAST I'M AHEAD OF YOU
SKU20240330_054656_NORMALIZE HITTING THE CURB,NORMALIZE,HITTING THE CURB
SKU20240330_054657_HORN BROKEN WATCH FOR FINGER,HORN BROKEN,WATCH FOR FINGER
SKU20240330_054658_HEAVILY ARMED EASILY PISSED,HEAVILY ARMED,EASILY PISSED
SKU20240330_054659_WE THE PEOPLE ARE PISSED OFF,WE THE PEOPLE,ARE PISSED OFF
SKU20240330_054700_MY OTHER CAR IS A BROOM,MY OTHER CAR,IS A BROOM
SKU20240330_054701_WILL YOU SHUT UP MAN,WILL YOU,"SHUT UP, MAN"
SKU20240330_054702_IF YOURE GONNA RIDE MY ASS AT LEAST PULL MY HAIR,IF YOU'RE GONNA RIDE MY,"ASS, AT LEAST PULL MY HAIR!"
SKU20240330_054703_ON MY WAY TO GET A LOBOTOMY,ON MY WAY TO,GET A LOBOTOMY
SKU20240330_054704_IM NOT DRUNK IM PASSING OUT SNACKS,I'M NOT DRUNK I'M,PASSING OUT SNACKS
SKU20240330_054705_DONT HONK AT ME IM SENSITIVE,DON'T HONK AT ME,I'M SENSITIVE
SKU20240330_054706_GOD BLESS THE WHOLE WORLD NO EXCEPTIONS,GOD BLESS THE WHOLE,WORLD NO EXCEPTIONS
SKU20240330_054707_HEAVEN AND HELL,HEAVEN,AND HELL
SKU20240330_054708_POLICE LIVES MATTER,POLICE,LIVES MATTER
SKU20240330_054709_DOG IS MY COPILOT,DOG IS MY,CO-PILOT
SKU20240330_054710_NO FARMS NO FOOD,NO FARMS,NO FOOD
SKU20240330_054711_IMPEACH JOE BIDEN,IMPEACH,JOE BIDEN
SKU20240330_054712_NAVY GIRLFRIEND,NAVY,GIRLFRIEND
SKU20240330_054713_LOVE IS GREATER THAN FEAR,LOVE IS,GREATER THAN FEAR
SKU20240330_054714_ONLY GAY COPS PULL ME OVER,ONLY GAY COPS,PULL ME OVER
SKU20240330_054715_GRANNY ON BOARD,GRANNY ON,BOARD
SKU20240330_054716_AUTISM AWARENESS,AUTISM,AWARENESS
SKU20240330_054717_SHOW ME YOUR KITTIES,SHOW ME YOUR,KITTIES
SKU20240330_054718_LOVE ANIMALS EAT PLANTS,LOVE ANIMALS,EAT PLANTS
SKU20240330_054719_EAT BEEF THE WEST WASNT WON ON SALAD,EAT BEEF THE WEST,WASNT WON ON SALAD
SKU20240330_054720_DO NOT TAILGATE,DO NOT,TAILGATE
SKU20240330_054721_MAKE AMERICA THINK AGAIN,MAKE AMERICA,THINK AGAIN
